,0,1,2,3
0,0.0,"141,285","54.5824038093,58.3345766966","3,3"
1,1.0,"518,37,518,37,518,37,518,37","77.609890172,79.1495502916,77.609890172,79.1495502916,77.609890172,79.1495502916,77.609890172,79.1495502916","2,2,1,1,2,2,2,2"
2,2.0,"33,1297","187.100320919,76.4970560989","1,1"
3,3.0,"11,1208","35.4938846476,26.2338593837","1,1"
4,4.0,"414,381,414,381,414,381,414,381","41.7736418526,64.685814594,41.7736418526,64.685814594,41.7736418526,64.685814594,41.7736418526,64.685814594","2,2,1,1,2,2,2,2"
5,5.0,"1113,1040,1113,1040","73.5761861576,46.4721078434,73.5761861576,46.4721078434","2,2,1,1"
6,6.0,"1243,39","168.026136171,199.593366992","1,1"
7,7.0,"718,230","45.0535130997,79.0493738221","4,4"
8,8.0,"1262,924,1262,924,1262,924,1262,924","21.6240013068,33.0039937673,21.6240013068,33.0039937673,21.6240013068,33.0039937673,21.6240013068,33.0039937673","2,2,1,1,2,2,2,2"
9,9.0,"499,1146","175.685389026,167.57889555","3,3"
10,10.0,"1272,874,1272,874,1272,874,1272,874","78.2736678908,51.7944099855,78.2736678908,51.7944099855,78.2736678908,51.7944099855,78.2736678908,51.7944099855","2,2,1,1,2,2,2,2"
11,11.0,"3,990","35.4938846476,2.79796659474","1,3"
12,12.0,"1215,112,387,112,387,387,1215","78.2930918782,42.4050623773,37.0880011121,42.4050623773,37.0880011121,37.0880011121,78.2930918782","1,1,1,2,2,2,2"
13,13.0,"557,1328","5.84524582834,489.891951048","3,3"
14,14.0,"1075,754,1075,754","117.023729967,223.882056863,117.023729967,223.882056863","1,1,2,2"
15,15.0,"505,749","89.9956819745,145.021374542","1,1"
16,16.0,"104,772","286.442399829,131.385949126","3,3"
17,17.0,"512,824,312,512,824,312,512,824,312,512,824,312","26.9045347672,6.42919232389,40.2085543222,26.9045347672,6.42919232389,40.2085543222,26.9045347672,6.42919232389,40.2085543222,26.9045347672,6.42919232389,40.2085543222","2,2,2,1,1,1,2,2,2,2,2,2"
18,18.0,"191,191,1174,1442,191,191","79.8390596046,79.8390596046,317.234021601,25.2527181881,79.8390596046,79.8390596046","2,1,3,3,2,2"
19,19.0,"999,798","125.924082441,87.4198527453","3,3"
20,20.0,"948,65,1082,948,65,1082,948,65,1082,948,65,1082","3.470377469,8.38605806971,47.792463145,3.470377469,8.38605806971,47.792463145,3.470377469,8.38605806971,47.792463145,3.470377469,8.38605806971,47.792463145","2,2,2,1,1,1,2,2,2,2,2,2"
21,21.0,"814,332","67.3101460477,22.5622154856","1,1"
22,22.0,"633,716,633,716,633,716,633,716","97.4836406417,167.264744763,97.4836406417,167.264744763,97.4836406417,167.264744763,97.4836406417,167.264744763","2,2,1,1,2,2,2,2"
23,23.0,"786,1054,786,1054,786,1054,786,1054","39.1285524503,29.0227652937,39.1285524503,29.0227652937,39.1285524503,29.0227652937,39.1285524503,29.0227652937","2,2,1,1,2,2,2,2"
24,24.0,"1035,1355","5.06176415429,3.26037512987","3,3"
25,25.0,"826,618","1859.66405076,813.873608309","3,3"
26,26.0,"169,154","35.766979122,24.8811528232","1,1"
27,27.0,"1340,351","276.243663248,163.334287661","1,1"
28,28.0,"45,944,45,944,45,944,45,944","95.9813167733,168.572306382,95.9813167733,168.572306382,95.9813167733,168.572306382,95.9813167733,168.572306382","2,2,1,1,2,2,2,2"
29,29.0,"1261,641","17.5833337617,37.4876129774","1,1"
30,30.0,"1316,395","141.936607198,177.786002462","1,1"
31,31.0,"1207,606","46.7693147384,25.7226251068","1,1"
32,32.0,"1169,884","204.137811861,172.508260844","3,3"
33,33.0,"1205,2","132.697114795,187.100320919","1,1"
34,34.0,"1191,1243","172.855856839,74.9856818185","1,1"
35,35.0,"793,1241","136.310695128,128.938798151","1,1"
36,36.0,"1042,653,284","282.271556561,213.675482496,66.4441838687","4,4,4"
37,37.0,"1,246,1,246,1,246,1,246","79.1495502916,59.2020787382,79.1495502916,59.2020787382,79.1495502916,59.2020787382,79.1495502916,59.2020787382","2,2,1,1,2,2,2,2"
38,38.0,"679,1309","67.6168313449,57.7345903363","1,1"
39,39.0,"6,587","199.593366992,109.360046952","1,1"
40,40.0,"320,1051","34.8321442844,139.426919288","1,1"
41,41.0,"369,1399,369,1399,369,1399,369,1399","108.665719492,28.7537951644,108.665719492,28.7537951644,108.665719492,28.7537951644,108.665719492,28.7537951644","2,2,1,1,2,2,2,2"
42,42.0,"909,186","44.83747901,24.393741491","1,1"
43,43.0,"1153,681","44.8610426047,30.7541548698","1,1"
44,44.0,1334,57.0269478814,3
45,45.0,"1123,28,1123,28,1123,28,1123,28","296.3071575,95.9813167733,296.3071575,95.9813167733,296.3071575,95.9813167733,296.3071575,95.9813167733","2,2,1,1,2,2,2,2"
46,46.0,"546,1154","873.805460997,948.004004328","3,3"
47,47.0,408,170.726728147,3
48,48.0,"535,1408,535,1408,535,1408,535,1408","8.26604794577,9.46572729722,8.26604794577,9.46572729722,8.26604794577,9.46572729722,8.26604794577,9.46572729722","2,2,1,1,2,2,2,2"
49,49.0,"974,790","131.699823649,213.953639349","2,2"
50,50.0,"1291,1037","34.0866636355,37.8004472689","1,1"
51,51.0,"1318,271","97.4933892951,206.02525075","1,1"
52,52.0,"971,55","99.9000531309,121.034284542","1,1"
53,53.0,"935,1070,935,1070,420","126.641533692,47.9785612561,126.641533692,47.9785612561,36.4106731643","2,2,1,1,1"
54,54.0,"249,724","3.5873732249,4.5768672352","3,3"
55,55.0,"52,710","121.034284542,43.4352819434","1,1"
56,56.0,"1284,344,1284,344,1284,344","13.6895933299,166.579193842,13.6895933299,166.579193842,13.6895933299,166.579193842","1,1,2,2,2,2"
57,57.0,"384,1298,384,1298","33.9272735056,14.5393967213,33.9272735056,14.5393967213","2,2,1,1"
58,58.0,"1196,275","73.1612662262,65.5682651373","1,1"
59,59.0,"428,439","39.7353255277,71.2531571193","1,1"
60,60.0,"641,1178","20.8919782202,28.9999711725","1,1"
61,61.0,1334,45.698773956,3
62,62.0,"404,765","150.258010049,145.295635384","4,4"
63,63.0,"1077,721","237.765226808,68.1078977328","1,1"
