Importer,City,Coefficient,Index,Textiles and furniture,"Vegetables, foodstuffs and wood",Stone and glass,Minerals,Metals,Chemicals and plastics,Transport vehicles,Machinery,Electronics,Other,"total, $"
CHN,Beijing,0.191,848,0.347261413181,0.129836880582,0.0515086078456,0.0242262326837,0.175965590561,0.191205991483,0.0636794836065,0.433140445945,0.46595401916,0.00459268689192,1.88746243932
CHN,Shenzhen,0.6,18,0.347261413181,0.129836880582,0.0515086078456,0.0242262326837,0.175965590561,0.191205991483,0.0636794836065,0.433140445945,0.46595401916,0.00459268689192,1.88746243932
CHN,Shanghai,0.209,1103,0.347261413181,0.129836880582,0.0515086078456,0.0242262326837,0.175965590561,0.191205991483,0.0636794836065,0.433140445945,0.46595401916,0.00459268689192,1.88746243932
USA,New York,0.450696791,1362,-0.0531627859234,-0.0149653354779,-0.00600088607726,-0.00057190384215,-0.014802653042,-0.0203809444744,-0.00806112272067,-0.0846281000554,-0.0745732762865,-0.00237688754122,-0.279440310579
USA,San Diego,0.074271537,1150,-0.0531627859234,-0.0149653354779,-0.00600088607726,-0.00057190384215,-0.014802653042,-0.0203809444744,-0.00806112272067,-0.0846281000554,-0.0745732762865,-0.00237688754122,-0.279440310579
USA,Seattle,0.037162162,534,-0.0531627859234,-0.0149653354779,-0.00600088607726,-0.00057190384215,-0.014802653042,-0.0203809444744,-0.00806112272067,-0.0846281000554,-0.0745732762865,-0.00237688754122,-0.279440310579
USA,Houston,0.121568834,299,-0.0531627859234,-0.0149653354779,-0.00600088607726,-0.00057190384215,-0.014802653042,-0.0203809444744,-0.00806112272067,-0.0846281000554,-0.0745732762865,-0.00237688754122,-0.279440310579
USA,Savannah,0.007759713,774,-0.0531627859234,-0.0149653354779,-0.00600088607726,-0.00057190384215,-0.014802653042,-0.0203809444744,-0.00806112272067,-0.0846281000554,-0.0745732762865,-0.00237688754122,-0.279440310579
USA,Oakland,0.022170608,680,-0.0531627859234,-0.0149653354779,-0.00600088607726,-0.00057190384215,-0.014802653042,-0.0203809444744,-0.00806112272067,-0.0846281000554,-0.0745732762865,-0.00237688754122,-0.279440310579
USA,Los Angeles,0.209881757,61,-0.0531627859234,-0.0149653354779,-0.00600088607726,-0.00057190384215,-0.014802653042,-0.0203809444744,-0.00806112272067,-0.0846281000554,-0.0745732762865,-0.00237688754122,-0.279440310579
USA,Miami,0.023965372,1211,-0.0531627859234,-0.0149653354779,-0.00600088607726,-0.00057190384215,-0.014802653042,-0.0203809444744,-0.00806112272067,-0.0846281000554,-0.0745732762865,-0.00237688754122,-0.279440310579
