City,Longitude,Latitude,Distance
-,28.479581,40.621791,0.717069731616
Minsk,27.564289,53.889998,0.0104403065089
Novocherkassk,40.05943,47.362981,0.060745370194
Treviso,11.882536,45.416568,0.43755913886
Zhuzhou,113.143254,27.855797,0.0269258240357
-,73.011439,49.139721,0.752224035777
Xiangkhoang,102.841727,18.938113,0.657602463499
-,106.277444,73.217556,1.54432185764
-,5.266674,51.895167,0.217816436478
El Tur,33.200891,28.355803,0.430215062498
-,34.805083,55.531921,0.604623023048
Venice,12.334999,45.438659,0.0
Ulan Ude,107.615047,51.822273,0.0104403065089
Jeju,126.696307,31.129769,2.38635202768
Changchun,125.351544,43.959462,0.0947628619239
Phrae,100.041333,17.969275,0.220771374956
Karlskrona,15.396006,55.788318,0.42687820277
-,4.383885,50.881437,0.0700357051796
Shenzhen,114.079797,22.511676,0.058
Sandnes,4.925288,58.675234,0.78366127887
Moscow,37.615523,55.752164,0.0
-,51.59452,56.350255,0.598285884841
-,103.53308,37.539741,0.972732234482
-,6.035749,51.42952,0.536
-,32.315028,30.786529,0.204533615819
Greenville,-10.969162,0.903501,4.53787935053
-,10.159523,47.13571,0.547366422061
Ashgabat,58.383299,37.949995,0.0
-,108.149508,32.276381,0.959226771937
-,4.788144,46.274092,0.505746972309
Shar,81.278185,49.309814,0.365826461591
-,-1.44278,46.672817,0.556756679349
Jambi,104.352677,-0.878366,1.02907385546
Millerovo,40.454328,49.02479,0.10400961494
Xam Nua,104.504488,20.121094,0.556288594167
Tashkent,69.294933,41.311702,0.0
-,170.274468,70.267406,0.567342048503
-,26.618911,53.453425,0.683441292285
-,17.054505,48.667554,0.521697230202
Udon Thani,102.950191,17.137778,0.311785182457
Tuymazy,53.552243,54.649117,0.148660687473
-,113.82633,34.532676,0.274235300426
Neftekamsk,54.172726,56.260719,0.19856736892
-,25.441179,57.521231,0.856066586195
Long Beach,-118.200884,33.769376,0.0466154480832
Ankang,109.065588,32.658501,0.0505667875191
Santa Cruz de Tenerife,-16.384339,30.202549,1.73817289129
Manama,50.840707,25.600687,0.685411555199
-,9.678958,52.249474,0.123967737738
Muroran,140.40469,42.642283,0.644894565026
Qulsary,53.952417,46.922193,0.0891403387923
Sivas,37.20144,39.206586,0.56302753041
-,42.193667,40.044122,0.912464793841
-,73.389295,47.202179,1.10617539296
-,32.584604,29.953716,0.0618546683768
Kars,43.320067,40.711988,0.24605893603
-,60.166984,56.850871,0.220056810847
-,70.934394,52.020781,0.811009864305
Gejiu,102.852588,23.659046,0.407492331216
Nizhnekamsk,52.000958,55.356698,0.335931540645
Lyon,4.83003,45.770009,0.0
Los Angeles,-118.262351,34.041682,0.0970978887515
-,109.415934,77.609252,4.15779989899
Penza,45.236484,53.122887,0.242785913924
-,20.608455,45.119166,0.331058907145
-,37.594802,55.826575,0.0778845299145
-,11.485729,48.145991,0.090426765949
Kayseri,35.496051,38.736203,0.0060827625303
-,30.064869,59.581845,0.0688839603972
Düsseldorf,6.779622,51.225944,0.006
-,32.303652,31.233885,0.0295296461205
-,-116.781926,27.793349,2.61941844691
Iwaki,141.59013,36.223831,1.08653623962
Wewak,144.754139,-1.288033,2.52545322665
-,10.012883,53.523665,0.0290688837075
-,32.442335,31.507476,0.290022412927
Kupina,76.921695,53.74857,0.70427551427
-,134.99174,48.97531,0.535522175078
-,131.955431,43.830264,0.0715891053164
-,16.943116,48.148845,0.174002873539
-,52.916305,57.030473,0.361933695585
Exmouth,113.972702,-21.704726,0.271248963132
Kristiansand,7.571251,57.297925,0.969124347027
-,-1.017674,45.556802,0.624118578477
Hamburg,9.999999,53.550025,0.0
-,53.280112,67.857333,0.306315197142
-,64.846415,55.639403,0.530133945338
-,60.429141,55.99896,0.209028706163
-,30.097051,59.456104,0.120503111993
Yuzhno Sakhalinsk,142.737459,47.068774,0.104043260233
-,14.237372,50.898233,0.282065595208
Tallinn,24.728041,59.436083,0.002
-,13.279565,52.338975,0.218680131699
-,7.015226,45.133984,0.658119290099
Nerchinsk,116.425697,52.161406,0.195532605977
-,32.333447,31.278343,0.0466154480832
Aqadyr,72.867594,48.254026,0.0224722050542
-,46.997332,37.376584,0.778188923077
Derbent,48.448209,41.825899,0.288209992887
Horta,-37.779581,32.586815,10.900776532
-,3.008807,50.461525,0.200960195064
Asbest,61.354057,56.732955,0.308084404019
Isla Mujeres,-86.375251,22.776725,1.60457377518
-,62.539363,39.756943,1.22567940343
Rostock,11.483628,54.521742,0.804897509003
Mary,61.843737,37.592339,0.0136014705087
-,46.743907,45.166361,1.7658454066
-,83.041436,55.131219,0.1294681428
Innsbruck,11.53674,47.284534,0.127098387087
-,-26.286252,-0.733904,10.2779488226
-,135.070495,48.537633,0.0968968523741
-,2.019117,47.608587,0.314391475711
-,108.206221,51.928861,0.590234699082
Plovdiv,24.749769,42.133724,0.0203960780544
-,13.219057,52.137603,0.30140504309
Hammerfest,25.903955,71.433857,2.34695227902
Balboa,-79.547381,8.935845,0.0244131112315
Luanda,12.048597,-9.756805,1.49959527873
Jihlava,15.947183,49.547509,0.392937654088
-,32.42155,70.579545,1.71680196878
Port Louis,70.331608,-17.363292,13.1347873984
-,9.248998,53.875451,0.743764747753
Saryshaghan,73.592009,46.154192,0.0434165866922
Rotterdam,4.489608,51.92002,0.01
-,30.277678,59.833638,0.111664676599
-,47.858929,58.281265,0.455580947802
-,25.770411,38.856185,0.61
Ulaanbaatar,106.916616,47.916673,0.0
Sari,52.847542,36.460719,0.267254560298
-,47.660182,47.167274,0.908377124327
Partizansk,134.466116,42.898729,1.35176070368
Tampico,-97.916043,22.40514,0.11463420083
Melilla,-2.442225,35.88506,0.774783195481
Prague,14.46598,50.083337,0.0
Murmansk,33.006453,69.301076,0.344088651368
Subotica,19.690572,46.088734,0.0219544984001
Kargat,79.7209,55.298725,0.56939353702
-,32.56998,30.208715,0.204978047605
-,37.682523,55.781876,0.0734098086089
Petropavlovsk,69.243019,54.854573,0.0339705755029
